rank,track,artist,billed_artist_count,is_collaboration,spotify_streams_total,daily_streams,daily_streams_rank,daily_stream_share_pct,wrapped_global_top10_rank,rank_delta,viral_momentum_index
662,CACHORRINHAS,Luísa Sonza,1,False,110956689,10942,727,0.0099,,-65,0.09861505421619914
663,Alégale Al Umpire,Grupo Firme,1,False,110882935,240816,341,0.2172,,322,2.1718039644981983
664,Tonight,PinkPantheress,1,False,110790470,203361,393,0.1836,,271,1.835545946907293
665,Pass The Nirvana,Pierce The Veil,1,False,110321263,65543,630,0.0594,,35,0.5941103067854625
666,Tiene,Tobal Mj,1,False,110075540,88005,592,0.0799,,74,0.7994964112872268
667,Hampstead,Ariana Grande,1,False,109542216,200773,397,0.1833,,270,1.8328367409251907
668,Ends of the Earth,Ty Myers,1,False,109399717,127575,513,0.1166,,155,1.166136461156143
669,Pusherman,Curtis Mayfield,1,False,109350427,37100,693,0.0339,,-24,0.3392762212142416
670,Drinkin' Alone,Ty Myers,1,False,109325805,130928,507,0.1198,,163,1.1975946465924066
671,GIMME A HUG,Drake,1,False,109245903,83860,597,0.0768,,74,0.7676260338328108
672,malibU,rusowsky,1,False,109207635,215705,374,0.1975,,298,1.975182394754887
673,Tonto corazón,Los Acosta,1,False,109021094,108394,553,0.0994,,120,0.994247948069133
674,Damocles,Sleep Token,1,False,108875425,132114,504,0.1213,,170,1.2134418652010601
675,CN TOWER,PARTYNEXTDOOR,1,False,108536398,103098,560,0.095,,115,0.9498933164347935
676,NO ERA AMOR,DJ Asul,1,False,108409708,222802,366,0.2055,,310,2.055184928132221
677,FXCK UP THE WORLD,LISA,1,False,108181506,66363,627,0.0613,,50,0.6134412603440623
678,Amen,Shaboozey,1,False,108071469,179718,426,0.1663,,252,1.6629550796338757
679,Bad State of Mind,Treaty Oak Revival,1,False,107612336,316308,262,0.2939,,417,2.9393284154771213
680,Aquamarine,Addison Rae,1,False,107337373,102169,562,0.0952,,118,0.9518492598859368
681,Kali Kali Zulfon Ke,Madhur Sharma,1,False,107320116,38476,689,0.0359,,-8,0.3585161950578194
682,Stupid Cupid,Connie Francis,1,False,107298967,29209,709,0.0272,,-27,0.2722206983388694
683,You Make Me Feel (Mighty Real),Sylvester,1,False,107186898,39948,688,0.0373,,-5,0.3726948010689254
684,Heart Of A Woman,Summer Walker,1,False,107165321,93871,580,0.0876,,104,0.8759456720523827
685,Wake Up,Fetty Wap,1,False,106956978,9830,729,0.0092,,-44,0.09190611114773539
686,Headphones On,Addison Rae,1,False,106633394,119672,532,0.1122,,154,1.1222750621416488
687,Ishqa Ve,Zeeshan Ali,1,False,106450961,365504,221,0.3434,,466,3.4335434187997285
688,Una Noche Sin Pensar,Sebastian Yatra,1,False,106271351,20675,717,0.0195,,-29,0.19454913869920465
689,Pal Pal,Afusic,1,False,106242585,214784,376,0.2022,,313,2.021637538077245
690,X TI,Kapo,1,False,106224438,189080,411,0.178,,279,1.780004693646817
691,"Matargashti (From ""Tamasha"")",Mohit Chauhan,1,False,106196299,89043,588,0.0838,,103,0.8384755401082712
692,putielegante,Peso Pluma,1,False,105963312,291402,287,0.275,,405,2.7500272665125145
693,Adiós Amor,Conjunto Primavera,1,False,105417719,129452,509,0.1228,,184,1.2279908918538553
694,Le temps de l'amour,Françoise Hardy,1,False,105398517,41029,685,0.0389,,9,0.3892749232014818
695,Con Toda La Fe,LOS DOS DE TAMAULIPAS,1,False,105327625,209311,381,0.1987,,314,1.987237422402362
696,ROSE,HANA,1,False,105098761,187018,412,0.1779,,284,1.7794500757297216
697,Survive,Lewis Capaldi,1,False,104982812,126324,519,0.1203,,178,1.2032826744697724
698,La culebra,Banda Machos,1,False,104959446,56914,653,0.0542,,45,0.5422475215594458
699,Roundtable Rival,Lindsey Stirling,1,False,104866928,28027,710,0.0267,,-11,0.2672625227730279
700,ダーリン,Mrs. GREEN APPLE,1,False,104520461,166286,441,0.1591,,259,1.5909420683578686
701,CRUSH,Playboi Carti,1,False,104502245,57296,651,0.0548,,50,0.5482752973558099
702,Chevaliers De Sangreal,Hans Zimmer,1,False,104261625,36314,696,0.0348,,6,0.3482968892121441
703,MF Gabhru!,Karan Aujla,1,False,104172642,159555,456,0.1532,,247,1.5316401255174068
704,Face 2 Face,Juice WRLD,1,False,103967179,24590,716,0.0237,,-12,0.23651694698269204
705,Energía Bacana,Sebastian Yatra,1,False,103844317,33119,704,0.0319,,1,0.3189293419019806
706,I'll Take Care of You,"Tyler, The Creator",2,True,103657182,149369,471,0.1441,,235,1.4409903460332314
707,familie,Mrs. GREEN APPLE,1,False,103558232,48742,670,0.0471,,37,0.4706723800511351
708,Enough (Miami),Cardi B,1,False,103434782,75254,612,0.0728,,96,0.7275502284371786
709,LA REINA,Lola Indigo,1,False,103120483,33447,703,0.0324,,6,0.32434874917770945
710,Body Splash,Felipe Araújo,1,False,102994750,36798,694,0.0357,,16,0.3572803433448759
711,Eu Quero Só Você,Jorge & Mateus,2,True,102950678,64073,635,0.0622,,76,0.6223659777901999
712,Calma,Jorge & Mateus,2,True,102891385,176384,431,0.1714,,281,1.714273729386831
713,Don’t Worry I’ll Make You Worry,Sabrina Carpenter,1,False,102585383,138826,492,0.1353,,221,1.3532727040335493
714,"If You Want To Sing Out, Sing Out",Yusuf / Cat Stevens,1,False,102344035,19956,718,0.0195,,-4,0.19498937876555894
715,ZEN,JENNIE,1,False,102184490,131568,506,0.1288,,209,1.287553509465541
716,Life Is Simple (Move Your Body) [Feat Salomé Das],Maesic,1,False,102173224,232944,351,0.228,,365,2.2798927997036404
717,Bluest Flame,Selena Gomez,1,False,102168737,81431,602,0.0797,,115,0.7970246241076209
718,Someone That Loves You,HONNE,1,False,101984959,12941,725,0.0127,,-7,0.12689125926018896
719,Calmed By Rest,Jim Efforts,1,False,101945055,123376,522,0.121,,197,1.2102205329113753
720,Reliquia,ROSALÍA,1,False,101904014,151794,466,0.149,,254,1.4895782074926096
721,クスシキ,Mrs. GREEN APPLE,1,False,101705760,101560,565,0.0999,,156,0.9985668363466647
722,Namumula,Maki,1,False,101410876,52576,663,0.0518,,59,0.5184453734681734
723,bckpckbyz,Peso Pluma,1,False,100921984,252063,329,0.2498,,394,2.4976024797768295
724,Sei tocar violão,Clayton & Romário,2,True,100833736,32979,705,0.0327,,19,0.327063153476103
725,Bintang 5,Tenxi,1,False,100811879,138534,493,0.1374,,232,1.3741832807800034
726,Bete Balanço,Barão Vermelho,1,False,100802110,50986,666,0.0506,,60,0.5058028993063448
727,Dance With My Father,Luther Vandross,1,False,100667340,37443,691,0.0372,,36,0.37194783956794886
728,Piel Morena,Thalia,1,False,100633015,41238,684,0.041,,44,0.4097859891230926
729,Clave Privada,Banda El Recodo,1,False,100615715,141056,488,0.1402,,241,1.4019281043530019
730,with the IE (way up),JENNIE,1,False,100284982,103544,559,0.1032,,171,1.0324975574857502
